series,model,run_id,seed,fold,accuracy,precision,recall,f1,roc_auc,n_test
lemmatized,SVM,s42_f1,42,1,0.9146285186894324,0.9113418530351438,0.9390946502057613,0.9250101337657073,0.9347157381471107,2167
lemmatized,SVM,s42_f2,42,2,0.925703737886479,0.9291530944625407,0.9390946502057613,0.9340974212034384,0.9442136113704741,2167
lemmatized,SVM,s42_f3,42,3,0.9215505306875865,0.9022324865280985,0.9646090534979423,0.9323786793953859,0.940903274890203,2167
lemmatized,SVM,s42_f4,42,4,0.9307798800184587,0.9269662921348315,0.9514003294892917,0.9390243902439024,0.9525187952377907,2167
lemmatized,SVM,s43_f0,43,0,0.9229704797047971,0.9225806451612903,0.9415637860082304,0.9319755600814664,0.9396197409955134,2168
lemmatized,SVM,s43_f1,43,1,0.928011075219197,0.922585794094174,0.951440329218107,0.9367909238249594,0.9476968565203859,2167
lemmatized,SVM,s43_f2,43,2,0.9187817258883249,0.9061767005473026,0.9539094650205762,0.9294306335204491,0.9389217415361205,2167
lemmatized,SVM,s43_f3,43,3,0.9229349330872173,0.9232633279483037,0.9407407407407408,0.9319200978393803,0.9413614828647509,2167
lemmatized,SVM,s43_f4,43,4,0.925703737886479,0.9235720032180209,0.9456342668863262,0.9344729344729344,0.9483777060561376,2167
lemmatized,SVM,s44_f0,44,0,0.919280442804428,0.9227642276422764,0.934156378600823,0.9284253578732107,0.9460110804520272,2168
lemmatized,SVM,s44_f1,44,1,0.9270881402861099,0.9211155378486056,0.951440329218107,0.9360323886639677,0.9423768890272158,2167
lemmatized,SVM,s44_f2,44,2,0.9169358560221504,0.9123505976095617,0.9423868312757202,0.9271255060728745,0.9401199986167306,2167
lemmatized,SVM,s44_f3,44,3,0.9289340101522843,0.9261044176706827,0.9489711934156378,0.9373983739837398,0.952651122177266,2167
lemmatized,SVM,s44_f4,44,4,0.9215505306875865,0.9065420560747663,0.9588138385502472,0.9319455564451561,0.9434928457952083,2167
lemmatized,SVM,s45_f0,45,0,0.9202029520295203,0.9174679487179487,0.9423868312757202,0.929760454730004,0.9379218322904925,2168
lemmatized,SVM,s45_f1,45,1,0.9284725426857406,0.926731078904992,0.9473251028806584,0.9369149369149369,0.9484567901234568,2167
lemmatized,SVM,s45_f2,45,2,0.9238578680203046,0.9213483146067416,0.9448559670781893,0.9329540837058107,0.9476294221392259,2167
lemmatized,SVM,s45_f3,45,3,0.9243193354868482,0.9089494163424124,0.9613168724279836,0.9344,0.9439421447591383,2167
lemmatized,SVM,s45_f4,45,4,0.9160129210890632,0.9121405750798722,0.9406919275123559,0.9261962692619627,0.9388525958950406,2167
lemmatized,SVM,s46_f0,46,0,0.9128228782287823,0.9001560062402496,0.9497942386831276,0.9243091710052063,0.9363336053787261,2168
lemmatized,SVM,s46_f1,46,1,0.9187817258883249,0.9146049481245012,0.9432098765432099,0.9286871961102107,0.9420557111733582,2167
lemmatized,SVM,s46_f2,46,2,0.928011075219197,0.9343724364232978,0.9374485596707819,0.9359079704190633,0.9474997406369954,2167
lemmatized,SVM,s46_f3,46,3,0.936317489616982,0.9297685554668795,0.9588477366255144,0.9440842787682334,0.9527557319223986,2167
original,LinearSVM,s42_f0,42,0,0.9234317343173432,0.9139700078926598,0.9530864197530864,0.9331184528605962,0.9521929881379572,2168
original,LinearSVM,s42_f1,42,1,0.9086294416243654,0.8932714617169374,0.9506172839506173,0.9210526315789473,0.9403625030259016,2167
original,LinearSVM,s42_f2,42,2,0.9229349330872173,0.9152139461172741,0.9506172839506173,0.9325797335486475,0.9526991043330914,2167
