series,model,run_id,seed,fold,classic_f1,classic_accuracy,classic_precision,classic_recall,trans_f1,trans_accuracy,trans_precision,trans_recall,n_test
original,LinearSVM,s46_f1,46,1,0.9285999202233746,0.917397323488694,0.9009287925696594,0.9580246913580248,0.9296,0.9187817258883249,0.9042801556420234,0.9563786008230453,2167
original,LinearSVM,s46_f2,46,2,0.9336016096579476,0.9238578680203046,0.9133858267716536,0.9547325102880658,0.9373230893651435,0.9284725426857406,0.9213036565977742,0.9539094650205762,2167
original,LinearSVM,s46_f3,46,3,0.9373493975903614,0.928011075219197,0.9152941176470588,0.9604938271604938,0.9413667610190053,0.9330872173511767,0.9252782193958664,0.9580246913580247,2167
original,LinearSVM,s46_f4,46,4,0.9263410728582866,0.915089986155976,0.9010903426791276,0.9530477759472816,0.9265944645006017,0.9155514536225197,0.9030492572322126,0.9514003294892917,2167
original,LinearSVM,s47_f0,47,0,0.9279423538831064,0.9169741697416974,0.9033515198752924,0.9539094650205762,0.9329047810365608,0.9229704797047971,0.9113029827315542,0.9555555555555556,2168
original,LinearSVM,s47_f1,47,1,0.9265762170790104,0.915089986155976,0.8993028659953525,0.9555555555555556,0.9274549098196393,0.9164743885556068,0.90390625,0.9522633744855967,2167
original,LinearSVM,s47_f2,47,2,0.9270625747309684,0.9155514536225196,0.8987635239567233,0.9572016460905348,0.9290012033694344,0.9183202584217812,0.9061032863849765,0.9530864197530864,2167
original,LinearSVM,s47_f3,47,3,0.9318364073777065,0.9215505306875864,0.90852228303362,0.9563786008230452,0.9328508242862887,0.9229349330872173,0.9119496855345912,0.9547325102880658,2167
original,LinearSVM,s47_f4,47,4,0.934887459807074,0.9252422704199352,0.91287284144427,0.957990115321252,0.9382815651472368,0.9293954776188279,0.9193675889328063,0.9579901153212521,2167
original,LinearSVM,s48_f0,48,0,0.9251810136765888,0.9142066420664208,0.9047993705743508,0.9465020576131687,0.925686591276252,0.915129151291513,0.908802537668517,0.9432098765432099,2168
original,LinearSVM,s48_f1,48,1,0.9260886935677188,0.9146285186894324,0.8998447204968945,0.9539094650205762,0.9285140562248996,0.9178587909552377,0.9066666666666666,0.951440329218107,2167
original,LinearSVM,s48_f2,48,2,0.9353673223604978,0.925703737886479,0.9130094043887148,0.9588477366255144,0.9361702127659575,0.9266266728195662,0.9137931034482759,0.9596707818930041,2167
original,LinearSVM,s48_f3,48,3,0.9300279888044782,0.9192431933548684,0.9043545878693624,0.9572016460905348,0.9339774557165862,0.9243193354868482,0.9141055949566588,0.9547325102880658,2167
original,LinearSVM,s48_f4,48,4,0.9335984095427436,0.9229349330872172,0.9023827824750192,0.9670510708401976,0.9360511590727418,0.9261652053530226,0.9091614906832298,0.9645799011532126,2167
original,NeuralNet,s42_f0,42,0,0.913509060955519,0.9031365313653136,0.9142621599340478,0.9127572016460904,0.9358094469115866,0.926660516605166,0.9183835182250396,0.9539094650205762,2168
original,NeuralNet,s42_f1,42,1,0.9052460349735664,0.8924780802953391,0.8946945337620579,0.9160493827160494,0.9226452905811623,0.9109367789570835,0.89921875,0.9473251028806584,2167
original,NeuralNet,s42_f2,42,2,0.9185245237130116,0.9072450392247348,0.9049520766773164,0.9325102880658436,0.9363083164300203,0.9275496077526535,0.9232,0.9497942386831276,2167
original,NeuralNet,s42_f3,42,3,0.909967845659164,0.8966312874942317,0.8892380204241949,0.931687242798354,0.9271575613618369,0.915089986155976,0.893211289092296,0.9637860082304527,2167
original,NeuralNet,s42_f4,42,4,0.9151321056845476,0.9021688970927548,0.8901869158878505,0.9415156507413508,0.9387096774193548,0.9298569450853715,0.919431279620853,0.9588138385502472,2167
original,NeuralNet,s43_f0,43,0,0.907868722815342,0.8925276752767528,0.8736681887366818,0.9448559670781892,0.9342948717948718,0.9243542435424354,0.9102263856362217,0.9596707818930041,2168
original,NeuralNet,s43_f1,43,1,0.9133089133089132,0.9017074296262112,0.9033816425120772,0.9234567901234568,0.934136546184739,0.9243193354868482,0.912156862745098,0.9572016460905349,2167
original,NeuralNet,s43_f2,43,2,0.90210355987055,0.8883248730964467,0.8870326173428799,0.9176954732510288,0.927352123858674,0.9155514536225197,0.8957055214723927,0.9613168724279836,2167
original,NeuralNet,s43_f3,43,3,0.9093117408906882,0.8966312874942317,0.8948207171314742,0.9242798353909464,0.9337641357027464,0.9243193354868482,0.9167327517842981,0.951440329218107,2167
original,NeuralNet,s43_f4,43,4,0.9172498970769865,0.9072450392247348,0.9168724279835392,0.9176276771004942,0.9309504467912266,0.9215505306875865,0.9182692307692307,0.943986820428336,2167
