series,model,accuracy,precision,recall,f1,roc_auc,roc_auc_macro,duration_sec,run_id,seed,fold,n_test
lemmatized,NeuralNet,0.8887863405629903,0.9011532125205932,0.9004115226337449,0.9007822149032524,0.9449709513435004,,95.80542087554932,,,,
lemmatized,RandomForest,0.925703737886479,0.915615141955836,0.9555555555555556,0.9351590817559404,0.9572422796279004,,1358.0208959579468,,,,
lemmatized,SVM,0.9210890632210428,0.9027777777777778,0.9629629629629628,0.931899641577061,0.949839194937234,,505.0702440738678,,,,
lemmatized,LinearSVM,0.9206275957544992,0.9008455034588778,0.9646090534979423,0.931637519872814,0.9554855275443512,,2.615868091583252,,,,
lemmatized,NeuralNet,0.8920166128287955,0.8817120622568093,0.9325102880658436,0.9064,0.947939793201231,,96.72357511520386,,,,
lemmatized,RandomForest,0.936317489616982,0.9359805510534848,0.9514003294892917,0.943627450980392,0.9592473088538578,,24387.65631699562,,,,
lemmatized,SVM,0.9247808029533918,0.914759273875296,0.9546952224052718,0.9343006852075776,0.9573647598583164,,539.3897967338562,,,,
lemmatized,LinearSVM,0.9243193354868482,0.907608695652174,0.9629324546952224,0.9344524380495604,0.961992044545016,,2.7647056579589844,,,,
lemmatized,NeuralNet,0.8947854176280572,0.8918918918918919,0.9242174629324548,0.9077669902912622,0.9459462963571208,,87.11782193183899,,,,
lemmatized,RandomForest,0.9308118081180812,0.922283901665345,0.9572016460905348,0.9394184168012925,0.9564839644354626,,1053.1405971050262,,,,
lemmatized,SVM,0.922509225092251,0.9099451840250588,0.9563786008230452,0.9325842696629212,0.948378739004832,,520.5874779224396,,,,
lemmatized,LinearSVM,0.9234317343173432,0.9088074824629774,0.959670781893004,0.933546837469976,0.95419878313664,,2.599174976348877,,,,
lemmatized,NeuralNet,0.9031365313653136,0.8916601714731099,0.9415637860082304,0.9159327461969576,0.9448127852698216,,94.24233531951904,,,,
lemmatized,RandomForest,0.9312413474850024,0.9298387096774192,0.9489711934156378,0.939307535641548,0.9579174879828476,,1170.703882932663,,,,
lemmatized,SVM,0.9243193354868482,0.9187250996015937,0.9489711934156378,0.9336032388663968,0.9576373759380296,,516.8500039577484,,,,
lemmatized,LinearSVM,0.9261652053530226,0.915027537372148,0.9572016460905348,0.9356395816572808,0.9620863160078846,,2.462350845336914,,,,
lemmatized,NeuralNet,0.9021688970927548,0.9021651964715316,0.925925925925926,0.9138911454102356,0.9525797973510391,,92.28909730911256,,,,
lemmatized,RandomForest,0.9220119981541302,0.9157392686804452,0.9481481481481482,0.9316619490497372,0.9542881350070892,,1364.8451368808746,,,,
lemmatized,SVM,0.9118597138901708,0.8944530046224961,0.9555555555555556,0.9239952248308796,0.9444288826641768,,515.2323400974274,,,,
lemmatized,LinearSVM,0.9132441162898016,0.8899012908124525,0.9646090534979423,0.9257503949447078,0.9517740429505136,,2.42158317565918,,,,
lemmatized,NeuralNet,0.8910936778957084,0.8821233411397346,0.9300411522633744,0.905448717948718,0.9409110557803366,,95.49368381500244,,,,
lemmatized,RandomForest,0.9298569450853716,0.9275945293644408,0.9489711934156378,0.9381611065907242,0.965537573053913,,1075.1510560512545,,,,
lemmatized,SVM,0.9224734656206738,0.915146708961142,0.9497942386831276,0.9321486268174476,0.9492798353909464,,502.98023104667664,,,,
lemmatized,LinearSVM,0.9233964005537608,0.913317572892041,0.9539094650205762,0.9331723027375202,0.9551794791990872,,2.4194281101226807,,,,
